50	6902.3667
100	6354.9102
150	6287.6812
200	6229.5557
250	6136.2671
300	5953.4443
350	5656.8433
400	5339.1704
450	5045.3760
500	4767.7769
550	4550.3291
600	4363.0454
650	4204.2515
700	4033.0830
750	3859.0430
800	3753.6943
850	3665.0835
900	3553.2681
950	3467.0396
1000	3307.7290
1050	3220.8643
1100	3175.8413
1150	3079.4443
1200	3079.7600
1250	3014.4426
1300	2937.9614
1350	2914.9688
1400	2907.8569
1450	2825.7820
1500	2763.0391
1550	2801.4199
1600	2710.3545
1650	2703.5208
1700	2667.0864
1750	2652.0620
1800	2624.0957
1850	2631.8999
1900	2587.2507
1950	2570.4131
2000	2536.3479
2050	2576.4275
2100	2532.9629
2150	2536.5063
2200	2497.0493
2250	2493.7278
2300	2496.8621
2350	2515.3408
2400	2502.3987
2450	2520.6060
2500	2535.3301
2550	2538.1250
2600	2578.4028
2650	2469.2310
2700	2410.0005
2750	2345.7510
2800	2260.5754
2850	2265.7734
2900	2230.5764
2950	2181.5710
3000	2172.8313
3050	2171.1396
3100	2091.1873
3150	2091.8088
3200	2088.7141
3250	2075.7104
3300	2074.1118
3350	2036.0112
3400	2050.0273
3450	2016.9863
3500	2040.2515
3550	2058.4421
3600	2062.2686
3650	2041.3687
3700	2026.9066
3750	2069.1736
3800	2046.1523
3850	2079.6704
3900	2096.3132
3950	2080.0457
4000	2024.8744
4050	2111.3682
4100	2088.1172
4150	2084.0200
4200	2110.4539
4250	2095.0422
4300	2078.2268
4350	2102.6028
4400	2117.7747
4450	2109.7236
4500	2125.1235
4550	2095.3862
4600	2118.5642
4650	2138.8291
4700	2107.5610
4750	2106.8352
4800	2152.3523
4850	2165.2185
4900	2145.2759
4950	2158.9636
5000	2152.5908
5050	2131.5779
5100	2155.9729
5150	2175.5925
5200	2172.1121
5250	2173.3970
5300	2166.7786
5350	2160.0774
5400	2161.5547
5450	2160.5898
5500	2158.2566
5550	2175.3899
5600	2180.7869
5650	2187.1677
5700	2187.4966
5750	2204.2539
5800	2168.4097
5850	2141.3728
5900	2146.5195
5950	2133.8694
6000	2123.0264
6050	2148.7207
6100	2115.6584
6150	2123.4922
6200	2138.3789
6250	2153.5120
6300	2134.6274
6350	2106.5652
6400	2114.8887
6450	2105.7202
6500	2081.4963
6550	2110.6770
6600	2103.0959
6650	2093.2322
6700	2084.4805
6750	2110.3362
6800	2082.7571
6850	2083.3608
6900	2112.4429
6950	2088.9487
7000	2073.6501
7050	2083.3835
7100	2050.2083
7150	2090.9321
7200	2038.8182
7250	2056.8855
7300	2070.0266
7350	2057.0405
7400	2066.0261
7450	2082.3672
7500	2094.7229
7550	2077.5942
7600	2077.4395
7650	2065.0447
7700	2080.7363
7750	2105.2378
7800	2103.5137
7850	2070.9622
7900	2091.1270
7950	2054.3320
8000	2083.3926
8050	2078.7097
8100	2067.9209
8150	2078.6833
8200	2060.6045
8250	2052.4866
8300	2070.3315
8350	2071.8865
8400	2072.5579
8450	2077.9214
8500	2040.5977
8550	2060.2441
8600	2043.5444
8650	2084.3435
8700	2044.7214
8750	2036.5372
8800	2069.7644
8850	2046.4451
8900	2039.1246
8950	2061.7271
9000	2045.2220
9050	2036.3308
9100	2025.1847
9150	2033.4083
9200	2067.4788
9250	2024.9159
9300	2047.1559
9350	2053.2324
9400	2041.0282
9450	2026.4558
9500	2039.7170
9550	2003.9807
9600	2034.0989
9650	2024.0803
9700	2026.6121
9750	2028.1737
9800	2041.9877
9850	2016.1631
9900	2003.8982
9950	2015.1680
10000	2012.2109
10050	2012.0775
